Sort Name,Elements,E(T) (sec),± std deviation (%),Average time per element (sec),Number of threads
Sequential C qsort,100000,1.82e-02,2.19,1.82e-07,1
Pure Sequential Dual Pivot,100000,2.13e-02,0.68,2.13e-07,1
Adaptive Sequential Dual Pivot,100000,3.17e-02,11.36,3.17e-07,1
Pure Parallel Dual Pivot,100000,1.45e-02,0.56,1.45e-07,2
Adaptive Parallel Dual Pivot,100000,1.60e-02,2.10,1.60e-07,2
Pure Parallel Dual Pivot,100000,1.35e-02,1.65,1.35e-07,4
Adaptive Parallel Dual Pivot,100000,1.39e-02,4.68,1.39e-07,4
Sequential C qsort,131072,2.42e-02,2.29,1.84e-07,1
Pure Sequential Dual Pivot,131072,2.90e-02,1.56,2.21e-07,1
Adaptive Sequential Dual Pivot,131072,3.95e-02,0.47,3.01e-07,1
Pure Parallel Dual Pivot,131072,1.93e-02,1.49,1.47e-07,2
Adaptive Parallel Dual Pivot,131072,2.14e-02,2.16,1.63e-07,2
Pure Parallel Dual Pivot,131072,1.83e-02,3.70,1.39e-07,4
Adaptive Parallel Dual Pivot,131072,1.86e-02,5.05,1.42e-07,4
Sequential C qsort,262144,5.08e-02,0.79,1.94e-07,1
Pure Sequential Dual Pivot,262144,6.26e-02,2.06,2.39e-07,1
Adaptive Sequential Dual Pivot,262144,8.34e-02,0.46,3.18e-07,1
Pure Parallel Dual Pivot,262144,3.95e-02,1.30,1.51e-07,2
Adaptive Parallel Dual Pivot,262144,4.34e-02,0.91,1.66e-07,2
Pure Parallel Dual Pivot,262144,3.53e-02,1.79,1.35e-07,4
Adaptive Parallel Dual Pivot,262144,3.66e-02,6.15,1.40e-07,4
Sequential C qsort,524288,1.08e-01,2.75,2.06e-07,1
Pure Sequential Dual Pivot,524288,1.28e-01,0.40,2.43e-07,1
Adaptive Sequential Dual Pivot,524288,1.68e-01,0.21,3.20e-07,1
Pure Parallel Dual Pivot,524288,7.95e-02,0.90,1.52e-07,2
Adaptive Parallel Dual Pivot,524288,8.75e-02,0.60,1.67e-07,2
Pure Parallel Dual Pivot,524288,6.99e-02,1.38,1.33e-07,4
Adaptive Parallel Dual Pivot,524288,7.11e-02,1.12,1.36e-07,4
Sequential C qsort,1000000,2.15e-01,0.55,2.15e-07,1
Pure Sequential Dual Pivot,1000000,2.63e-01,0.14,2.63e-07,1
Adaptive Sequential Dual Pivot,1000000,3.46e-01,0.27,3.46e-07,1
Pure Parallel Dual Pivot,1000000,1.66e-01,0.58,1.66e-07,2
Adaptive Parallel Dual Pivot,1000000,1.80e-01,0.33,1.80e-07,2
Pure Parallel Dual Pivot,1000000,1.41e-01,1.85,1.41e-07,4
Adaptive Parallel Dual Pivot,1000000,1.46e-01,0.69,1.46e-07,4
Sequential C qsort,1048576,2.25e-01,0.67,2.14e-07,1
Pure Sequential Dual Pivot,1048576,2.77e-01,0.12,2.65e-07,1
Adaptive Sequential Dual Pivot,1048576,3.56e-01,0.19,3.39e-07,1
Pure Parallel Dual Pivot,1048576,1.71e-01,3.47,1.63e-07,2
Adaptive Parallel Dual Pivot,1048576,1.82e-01,0.31,1.74e-07,2
Pure Parallel Dual Pivot,1048576,1.42e-01,1.95,1.36e-07,4
Adaptive Parallel Dual Pivot,1048576,1.47e-01,0.48,1.40e-07,4
Sequential C qsort,2097152,4.72e-01,0.59,2.25e-07,1
Pure Sequential Dual Pivot,2097152,5.75e-01,0.14,2.74e-07,1
Adaptive Sequential Dual Pivot,2097152,7.45e-01,0.31,3.55e-07,1
Pure Parallel Dual Pivot,2097152,3.52e-01,0.95,1.68e-07,2
Adaptive Parallel Dual Pivot,2097152,3.84e-01,0.40,1.83e-07,2
Pure Parallel Dual Pivot,2097152,2.90e-01,0.47,1.38e-07,4
Adaptive Parallel Dual Pivot,2097152,3.07e-01,0.33,1.46e-07,4
Sequential C qsort,4194304,9.89e-01,0.58,2.36e-07,1
Pure Sequential Dual Pivot,4194304,1.21e+00,0.27,2.89e-07,1
Adaptive Sequential Dual Pivot,4194304,1.53e+00,0.04,3.64e-07,1
Pure Parallel Dual Pivot,4194304,7.18e-01,0.25,1.71e-07,2
Adaptive Parallel Dual Pivot,4194304,7.83e-01,0.12,1.87e-07,2
Pure Parallel Dual Pivot,4194304,5.97e-01,1.32,1.42e-07,4
Adaptive Parallel Dual Pivot,4194304,6.25e-01,0.49,1.49e-07,4
Sequential C qsort,8388608,2.08e+00,0.10,2.48e-07,1
Pure Sequential Dual Pivot,8388608,2.52e+00,0.12,3.01e-07,1
Adaptive Sequential Dual Pivot,8388608,3.19e+00,0.16,3.80e-07,1
Pure Parallel Dual Pivot,8388608,1.52e+00,0.28,1.82e-07,2
Adaptive Parallel Dual Pivot,8388608,1.65e+00,0.09,1.97e-07,2
Pure Parallel Dual Pivot,8388608,1.25e+00,0.28,1.49e-07,4
Adaptive Parallel Dual Pivot,8388608,1.32e+00,0.10,1.58e-07,4
Sequential C qsort,10000000,2.51e+00,0.07,2.51e-07,1
Pure Sequential Dual Pivot,10000000,3.07e+00,0.21,3.07e-07,1
Adaptive Sequential Dual Pivot,10000000,3.92e+00,0.12,3.92e-07,1
Pure Parallel Dual Pivot,10000000,1.87e+00,0.19,1.87e-07,2
Adaptive Parallel Dual Pivot,10000000,2.0
